filename mjd
lsc1m004-fl04-20141216-0090-e90.fits 57008.096172
lsc1m004-fl04-20141216-0091-e90.fits 57008.1002092
lsc1m004-fl04-20141216-0092-e90.fits 57008.1042234
lsc1m004-fl04-20141216-0093-e90.fits 57008.1082457
lsc1m004-fl04-20141216-0094-e90.fits 57008.1122926
lsc1m004-fl04-20141216-0095-e90.fits 57008.1165182
lsc1m004-fl04-20141216-0096-e90.fits 57008.1207029
lsc1m004-fl04-20141216-0097-e90.fits 57008.1247694
lsc1m004-fl04-20141216-0098-e90.fits 57008.128795
lsc1m004-fl04-20141216-0099-e90.fits 57008.1328164
lsc1m004-fl04-20141216-0100-e90.fits 57008.1368453
lsc1m004-fl04-20141216-0101-e90.fits 57008.1408689
lsc1m004-fl04-20141216-0102-e90.fits 57008.1448883
lsc1m004-fl04-20141216-0103-e90.fits 57008.1489087
lsc1m004-fl04-20141216-0104-e90.fits 57008.1529257
lsc1m004-fl04-20141216-0105-e90.fits 57008.1569684
lsc1m004-fl04-20141216-0106-e90.fits 57008.1609917
lsc1m004-fl04-20141216-0107-e90.fits 57008.1650153
lsc1m004-fl04-20141216-0108-e90.fits 57008.1690417
lsc1m004-fl04-20141216-0109-e90.fits 57008.1730616
lsc1m004-fl04-20141216-0110-e90.fits 57008.1771387
lsc1m004-fl04-20141216-0111-e90.fits 57008.1813523
lsc1m004-fl04-20141216-0112-e90.fits 57008.1855861
lsc1m004-fl04-20141216-0113-e90.fits 57008.1896615
lsc1m004-fl04-20141216-0114-e90.fits 57008.1936849
lsc1m004-fl04-20141216-0115-e90.fits 57008.1977089
lsc1m004-fl04-20141216-0116-e90.fits 57008.2017303
lsc1m004-fl04-20141216-0117-e90.fits 57008.2057575
lsc1m004-fl04-20141216-0118-e90.fits 57008.2097744
lsc1m004-fl04-20141216-0119-e90.fits 57008.2137897
lsc1m004-fl04-20141216-0120-e90.fits 57008.2178242
lsc1m004-fl04-20141216-0121-e90.fits 57008.2218525
lsc1m004-fl04-20141216-0122-e90.fits 57008.2258691
lsc1m004-fl04-20141216-0123-e90.fits 57008.2298905
lsc1m004-fl04-20141216-0124-e90.fits 57008.233917
lsc1m004-fl04-20141216-0125-e90.fits 57008.2379349
lsc1m004-fl04-20141216-0126-e90.fits 57008.2421599
lsc1m004-fl04-20141216-0127-e90.fits 57008.2463465
lsc1m004-fl04-20141216-0128-e90.fits 57008.2504054
lsc1m004-fl04-20141216-0129-e90.fits 57008.2544334
lsc1m004-fl04-20141216-0130-e90.fits 57008.2584688
lsc1m004-fl04-20141216-0131-e90.fits 57008.262493
lsc1m004-fl04-20141216-0132-e90.fits 57008.2665195
lsc1m004-fl04-20141216-0133-e90.fits 57008.2705373
lsc1m004-fl04-20141216-0134-e90.fits 57008.2745757
lsc1m004-fl04-20141216-0135-e90.fits 57008.2786007
lsc1m004-fl04-20141216-0136-e90.fits 57008.2826434
lsc1m004-fl04-20141216-0137-e90.fits 57008.2866715
lsc1m004-fl04-20141216-0138-e90.fits 57008.2906948
lsc1m004-fl04-20141216-0139-e90.fits 57008.2947218
lsc1m004-fl04-20141216-0140-e90.fits 57008.2987498
lsc1m004-fl04-20141216-0141-e90.fits 57008.3029711
lsc1m004-fl04-20141216-0142-e90.fits 57008.3070413
lsc1m004-fl04-20141216-0143-e90.fits 57008.3110612
lsc1m004-fl04-20141216-0144-e90.fits 57008.3150944
lsc1m004-fl04-20141216-0145-e90.fits 57008.319118
lsc1m004-fl04-20141216-0146-e90.fits 57008.3231382
cpt1m010-kb70-20141217-0081-e90.fits 57008.7842306
cpt1m010-kb70-20141217-0082-e90.fits 57008.7878784
cpt1m010-kb70-20141217-0083-e90.fits 57008.7915368
cpt1m010-kb70-20141217-0084-e90.fits 57008.7951947
cpt1m010-kb70-20141217-0085-e90.fits 57008.7988455
cpt1m010-kb70-20141217-0086-e90.fits 57008.8024998
cpt1m010-kb70-20141217-0087-e90.fits 57008.8064032
cpt1m010-kb70-20141217-0088-e90.fits 57008.8102254
cpt1m010-kb70-20141217-0089-e90.fits 57008.8138795
cpt1m010-kb70-20141217-0090-e90.fits 57008.8175344
cpt1m010-kb70-20141217-0091-e90.fits 57008.8211911
cpt1m010-kb70-20141217-0092-e90.fits 57008.8248639
cpt1m010-kb70-20141217-0093-e90.fits 57008.8285322
cpt1m010-kb70-20141217-0094-e90.fits 57008.8322179
cpt1m010-kb70-20141217-0095-e90.fits 57008.8358826
cpt1m010-kb70-20141217-0096-e90.fits 57008.839532
cpt1m010-kb70-20141217-0097-e90.fits 57008.8432023
cpt1m010-kb70-20141217-0098-e90.fits 57008.8468567
cpt1m010-kb70-20141217-0099-e90.fits 57008.8505106
cpt1m010-kb70-20141217-0100-e90.fits 57008.8541621
cpt1m010-kb70-20141217-0101-e90.fits 57008.857823
cpt1m010-kb70-20141217-0102-e90.fits 57008.8614755
cpt1m010-kb70-20141217-0103-e90.fits 57008.8651206
cpt1m010-kb70-20141217-0104-e90.fits 57008.8690696
cpt1m010-kb70-20141217-0105-e90.fits 57008.8728868
cpt1m010-kb70-20141217-0106-e90.fits 57008.8765411
cpt1m010-kb70-20141217-0107-e90.fits 57008.8801997
cpt1m010-kb70-20141217-0108-e90.fits 57008.883859
cpt1m010-kb70-20141217-0109-e90.fits 57008.887519
cpt1m010-kb70-20141217-0110-e90.fits 57008.8911719
cpt1m010-kb70-20141217-0111-e90.fits 57008.8948305
cpt1m010-kb70-20141217-0112-e90.fits 57008.8985153
cpt1m010-kb70-20141217-0113-e90.fits 57008.9021869
cpt1m010-kb70-20141217-0114-e90.fits 57008.9058384
cpt1m010-kb70-20141217-0115-e90.fits 57008.909484
cpt1m010-kb70-20141217-0116-e90.fits 57008.9131394
cpt1m010-kb70-20141217-0117-e90.fits 57008.9167999
cpt1m010-kb70-20141217-0118-e90.fits 57008.920477
cpt1m010-kb70-20141217-0119-e90.fits 57008.924162
cpt1m010-kb70-20141217-0120-e90.fits 57008.9278322
cpt1m010-kb70-20141217-0121-e90.fits 57008.9317043
cpt1m010-kb70-20141217-0122-e90.fits 57008.9355922
cpt1m010-kb70-20141217-0123-e90.fits 57008.9392554
cpt1m010-kb70-20141217-0124-e90.fits 57008.942906
cpt1m010-kb70-20141217-0125-e90.fits 57008.9465664
cpt1m010-kb70-20141217-0126-e90.fits 57008.9502207
cpt1m010-kb70-20141217-0127-e90.fits 57008.9538737
cpt1m010-kb70-20141217-0128-e90.fits 57008.9575328
cpt1m010-kb70-20141217-0129-e90.fits 57008.9611907
cpt1m010-kb70-20141217-0130-e90.fits 57008.9648409
cpt1m010-kb70-20141217-0131-e90.fits 57008.9684996
cpt1m010-kb70-20141217-0132-e90.fits 57008.9721559
cpt1m010-kb70-20141217-0133-e90.fits 57008.97582
cpt1m010-kb70-20141217-0134-e90.fits 57008.9794745
cpt1m010-kb70-20141217-0135-e90.fits 57008.9831239
cpt1m010-kb70-20141217-0136-e90.fits 57008.9868408
cpt1m010-kb70-20141217-0137-e90.fits 57008.9905139
cpt1m010-kb70-20141217-0138-e90.fits 57008.9941662
cpt1m010-kb70-20141217-0139-e90.fits 57008.9980488
cpt1m010-kb70-20141217-0140-e90.fits 57009.0019357
cpt1m010-kb70-20141217-0141-e90.fits 57009.0055949
cpt1m010-kb70-20141217-0142-e90.fits 57009.0092609
cpt1m010-kb70-20141217-0143-e90.fits 57009.0129177
cpt1m010-kb70-20141217-0144-e90.fits 57009.016598
cpt1m010-kb70-20141217-0145-e90.fits 57009.0202648
cpt1m010-kb70-20141217-0146-e90.fits 57009.0239351
cpt1m010-kb70-20141217-0147-e90.fits 57009.0275932
lsc1m009-fl03-20141217-0010-e90.fits 57009.0308932
cpt1m010-kb70-20141217-0148-e90.fits 57009.0312551
cpt1m010-kb70-20141217-0149-e90.fits 57009.0349108
lsc1m009-fl03-20141217-0011-e90.fits 57009.0350146
cpt1m010-kb70-20141217-0150-e90.fits 57009.0385675
lsc1m009-fl03-20141217-0012-e90.fits 57009.0390511
cpt1m010-kb70-20141217-0151-e90.fits 57009.0422301
lsc1m009-fl03-20141217-0013-e90.fits 57009.043069
cpt1m010-kb70-20141217-0152-e90.fits 57009.0458908
lsc1m009-fl03-20141217-0014-e90.fits 57009.0471141
cpt1m010-kb70-20141217-0153-e90.fits 57009.0495521
lsc1m009-fl03-20141217-0015-e90.fits 57009.0511329
cpt1m010-kb70-20141217-0154-e90.fits 57009.0534789
lsc1m009-fl03-20141217-0016-e90.fits 57009.0553484
cpt1m010-kb70-20141217-0155-e90.fits 57009.0571273
lsc1m009-fl03-20141217-0017-e90.fits 57009.0595579
cpt1m010-kb70-20141217-0156-e90.fits 57009.0611341
lsc1m009-fl03-20141217-0018-e90.fits 57009.0636404
cpt1m010-kb70-20141217-0157-e90.fits 57009.0650508
lsc1m009-fl03-20141217-0019-e90.fits 57009.0676583
cpt1m010-kb70-20141217-0158-e90.fits 57009.0687102
lsc1m009-fl03-20141217-0020-e90.fits 57009.0716941
cpt1m010-kb70-20141217-0159-e90.fits 57009.0723651
lsc1m009-fl03-20141217-0021-e90.fits 57009.0757084
cpt1m010-kb70-20141217-0160-e90.fits 57009.0760284
cpt1m010-kb70-20141217-0161-e90.fits 57009.079706
lsc1m009-fl03-20141217-0022-e90.fits 57009.0797308
cpt1m010-kb70-20141217-0162-e90.fits 57009.0833598
lsc1m009-fl03-20141217-0023-e90.fits 57009.0837531
lsc1m009-fl03-20141217-0024-e90.fits 57009.0878199
lsc1m009-fl03-20141217-0025-e90.fits 57009.0918563
lsc1m009-fl03-20141217-0026-e90.fits 57009.0958952
lsc1m009-fl03-20141217-0027-e90.fits 57009.0999118
lsc1m009-fl03-20141217-0028-e90.fits 57009.1039548
lsc1m009-fl03-20141217-0029-e90.fits 57009.1081191
lsc1m009-fl03-20141217-0030-e90.fits 57009.1123301
lsc1m009-fl03-20141217-0031-e90.fits 57009.1164081
lsc1m009-fl03-20141217-0032-e90.fits 57009.1204258
lsc1m009-fl03-20141217-0033-e90.fits 57009.12446
lsc1m009-fl03-20141217-0034-e90.fits 57009.1284895
lsc1m009-fl03-20141217-0035-e90.fits 57009.1325032
lsc1m009-fl03-20141217-0036-e90.fits 57009.1365246
lsc1m009-fl03-20141217-0037-e90.fits 57009.1405567
lsc1m009-fl03-20141217-0038-e90.fits 57009.1445992
lsc1m009-fl03-20141217-0039-e90.fits 57009.148633
lsc1m009-fl03-20141217-0040-e90.fits 57009.1526576
lsc1m009-fl03-20141217-0041-e90.fits 57009.1567155
lsc1m009-fl03-20141217-0042-e90.fits 57009.1607927
lsc1m009-fl03-20141217-0043-e90.fits 57009.1648391
lsc1m009-fl03-20141217-0044-e90.fits 57009.1688586
lsc1m009-fl03-20141217-0045-e90.fits 57009.1730716
lsc1m009-fl03-20141217-0046-e90.fits 57009.1772729
lsc1m009-fl03-20141217-0047-e90.fits 57009.1813376
lsc1m009-fl03-20141217-0048-e90.fits 57009.1853584
lsc1m009-fl03-20141217-0049-e90.fits 57009.1893897
lsc1m009-fl03-20141217-0050-e90.fits 57009.1934284
lsc1m009-fl03-20141217-0051-e90.fits 57009.1974545
lsc1m009-fl03-20141217-0052-e90.fits 57009.2014772
lsc1m009-fl03-20141217-0053-e90.fits 57009.2055204
lsc1m009-fl03-20141217-0054-e90.fits 57009.2095357
lsc1m009-fl03-20141217-0055-e90.fits 57009.2135575
lsc1m009-fl03-20141217-0056-e90.fits 57009.2175833
lsc1m009-fl03-20141217-0057-e90.fits 57009.2216103
lsc1m009-fl03-20141217-0058-e90.fits 57009.2256273
lsc1m009-fl03-20141217-0059-e90.fits 57009.2296517
lsc1m009-fl03-20141217-0060-e90.fits 57009.233891
lsc1m009-fl03-20141217-0061-e90.fits 57009.2380996
lsc1m009-fl03-20141217-0062-e90.fits 57009.2421663
lsc1m009-fl03-20141217-0063-e90.fits 57009.2461954
lsc1m009-fl03-20141217-0064-e90.fits 57009.2502205
lsc1m009-fl03-20141217-0065-e90.fits 57009.2542481
lsc1m009-fl03-20141217-0066-e90.fits 57009.2582661
lsc1m009-fl03-20141217-0067-e90.fits 57009.2622933
lsc1m009-fl03-20141217-0068-e90.fits 57009.2663118
lsc1m009-fl03-20141217-0069-e90.fits 57009.2703304
lsc1m009-fl03-20141217-0070-e90.fits 57009.2743468
lsc1m009-fl03-20141217-0071-e90.fits 57009.2783707
lsc1m009-fl03-20141217-0072-e90.fits 57009.2824032
lsc1m009-fl03-20141217-0073-e90.fits 57009.2864263
lsc1m009-fl03-20141217-0074-e90.fits 57009.2904465
lsc1m009-fl03-20141217-0075-e90.fits 57009.2946755
lsc1m009-fl03-20141217-0076-e90.fits 57009.2987372
lsc1m009-fl03-20141217-0077-e90.fits 57009.3027591
lsc1m009-fl03-20141217-0078-e90.fits 57009.3067944
lsc1m009-fl03-20141217-0079-e90.fits 57009.310817
lsc1m009-fl03-20141217-0080-e90.fits 57009.3148323
coj1m003-kb71-20141218-0083-e90.fits 57009.4225868
coj1m003-kb71-20141218-0084-e90.fits 57009.4262357
coj1m003-kb71-20141218-0085-e90.fits 57009.4298945
coj1m003-kb71-20141218-0086-e90.fits 57009.4335502
coj1m003-kb71-20141218-0087-e90.fits 57009.4372041
coj1m003-kb71-20141218-0088-e90.fits 57009.4408606
coj1m003-kb71-20141218-0089-e90.fits 57009.4446941
coj1m003-kb71-20141218-0090-e90.fits 57009.4485062
coj1m003-kb71-20141218-0091-e90.fits 57009.452163
coj1m003-kb71-20141218-0092-e90.fits 57009.4558195
coj1m003-kb71-20141218-0093-e90.fits 57009.4594807
coj1m003-kb71-20141218-0094-e90.fits 57009.463134
coj1m003-kb71-20141218-0095-e90.fits 57009.4667942
coj1m003-kb71-20141218-0096-e90.fits 57009.4704545
coj1m003-kb71-20141218-0097-e90.fits 57009.4741126
coj1m003-kb71-20141218-0098-e90.fits 57009.4777723
coj1m003-kb71-20141218-0099-e90.fits 57009.4814255
coj1m003-kb71-20141218-0100-e90.fits 57009.485086
coj1m003-kb71-20141218-0101-e90.fits 57009.4887445
coj1m003-kb71-20141218-0102-e90.fits 57009.4924033
coj1m003-kb71-20141218-0103-e90.fits 57009.4960641
coj1m003-kb71-20141218-0104-e90.fits 57009.4997201
coj1m003-kb71-20141218-0105-e90.fits 57009.50338
coj1m003-kb71-20141218-0106-e90.fits 57009.5071895
coj1m003-kb71-20141218-0107-e90.fits 57009.5110171
coj1m003-kb71-20141218-0108-e90.fits 57009.5146836
coj1m003-kb71-20141218-0109-e90.fits 57009.518339
coj1m003-kb71-20141218-0110-e90.fits 57009.5220004
coj1m003-kb71-20141218-0111-e90.fits 57009.5256559
coj1m003-kb71-20141218-0112-e90.fits 57009.5293173
coj1m003-kb71-20141218-0113-e90.fits 57009.5329778
coj1m003-kb71-20141218-0114-e90.fits 57009.5366373
coj1m003-kb71-20141218-0115-e90.fits 57009.5403649
coj1m003-kb71-20141218-0116-e90.fits 57009.5440299
coj1m003-kb71-20141218-0117-e90.fits 57009.5476878
coj1m003-kb71-20141218-0118-e90.fits 57009.5514474
coj1m003-kb71-20141218-0119-e90.fits 57009.5551015
coj1m003-kb71-20141218-0120-e90.fits 57009.5587604
coj1m003-kb71-20141218-0121-e90.fits 57009.5624283
coj1m003-kb71-20141218-0122-e90.fits 57009.5660855
coj1m003-kb71-20141218-0123-e90.fits 57009.5697616
coj1m003-kb71-20141218-0124-e90.fits 57009.5736084
coj1m003-kb71-20141218-0125-e90.fits 57009.5774186
coj1m003-kb71-20141218-0126-e90.fits 57009.5810809
coj1m003-kb71-20141218-0127-e90.fits 57009.5847439
coj1m003-kb71-20141218-0128-e90.fits 57009.5884038
coj1m003-kb71-20141218-0129-e90.fits 57009.5920599
coj1m003-kb71-20141218-0130-e90.fits 57009.5957835
coj1m003-kb71-20141218-0131-e90.fits 57009.5994413
coj1m003-kb71-20141218-0132-e90.fits 57009.6030977
coj1m003-kb71-20141218-0133-e90.fits 57009.6067606
coj1m003-kb71-20141218-0134-e90.fits 57009.6104216
coj1m003-kb71-20141218-0135-e90.fits 57009.6140768
coj1m003-kb71-20141218-0136-e90.fits 57009.617737
coj1m003-kb71-20141218-0137-e90.fits 57009.6213927
coj1m003-kb71-20141218-0138-e90.fits 57009.6250531
coj1m003-kb71-20141218-0139-e90.fits 57009.6287129
coj1m003-kb71-20141218-0140-e90.fits 57009.6323766
coj1m003-kb71-20141218-0141-e90.fits 57009.6360308
coj1m003-kb71-20141218-0142-e90.fits 57009.6398849
coj1m003-kb71-20141218-0143-e90.fits 57009.6436986
coj1m003-kb71-20141218-0144-e90.fits 57009.647354
coj1m003-kb71-20141218-0145-e90.fits 57009.651013
coj1m003-kb71-20141218-0146-e90.fits 57009.6546745
coj1m003-kb71-20141218-0147-e90.fits 57009.6584263
coj1m003-kb71-20141218-0148-e90.fits 57009.6620849
coj1m003-kb71-20141218-0149-e90.fits 57009.6657426
coj1m003-kb71-20141218-0150-e90.fits 57009.6694025
coj1m003-kb71-20141218-0151-e90.fits 57009.6730621
coj1m003-kb71-20141218-0152-e90.fits 57009.6767253
coj1m003-kb71-20141218-0153-e90.fits 57009.6803813
coj1m003-kb71-20141218-0154-e90.fits 57009.6840846
coj1m003-kb71-20141218-0155-e90.fits 57009.6877398
coj1m003-kb71-20141218-0156-e90.fits 57009.691392
coj1m003-kb71-20141218-0157-e90.fits 57009.6950471
coj1m003-kb71-20141218-0158-e90.fits 57009.698707
coj1m003-kb71-20141218-0159-e90.fits 57009.7023616
coj1m003-kb71-20141218-0160-e90.fits 57009.7062149
coj1m003-kb71-20141218-0161-e90.fits 57009.7098852
coj1m003-kb71-20141218-0162-e90.fits 57009.7135436
coj1m003-kb71-20141218-0163-e90.fits 57009.7172004
coj1m003-kb71-20141218-0164-e90.fits 57009.7208561
coj1m003-kb71-20141218-0165-e90.fits 57009.724514
cpt1m010-kb70-20141218-0083-e90.fits 57009.7818217
cpt1m010-kb70-20141218-0084-e90.fits 57009.7855041
cpt1m010-kb70-20141218-0085-e90.fits 57009.7891562
cpt1m010-kb70-20141218-0086-e90.fits 57009.7928164
cpt1m010-kb70-20141218-0087-e90.fits 57009.796476
cpt1m010-kb70-20141218-0088-e90.fits 57009.8001454
cpt1m010-kb70-20141218-0089-e90.fits 57009.804053
cpt1m010-kb70-20141218-0090-e90.fits 57009.8079298
cpt1m010-kb70-20141218-0091-e90.fits 57009.8115716
cpt1m010-kb70-20141218-0092-e90.fits 57009.8152333
cpt1m010-kb70-20141218-0093-e90.fits 57009.8188844
cpt1m010-kb70-20141218-0094-e90.fits 57009.8225476
cpt1m010-kb70-20141218-0095-e90.fits 57009.826213
cpt1m010-kb70-20141218-0096-e90.fits 57009.8298941
cpt1m010-kb70-20141218-0097-e90.fits 57009.8335538
cpt1m010-kb70-20141218-0098-e90.fits 57009.8372196
cpt1m010-kb70-20141218-0099-e90.fits 57009.8408945
cpt1m010-kb70-20141218-0100-e90.fits 57009.8445417
cpt1m010-kb70-20141218-0101-e90.fits 57009.848205
cpt1m010-kb70-20141218-0102-e90.fits 57009.8518621
cpt1m010-kb70-20141218-0103-e90.fits 57009.8555291
cpt1m010-kb70-20141218-0104-e90.fits 57009.8592063
cpt1m010-kb70-20141218-0105-e90.fits 57009.8628729
cpt1m010-kb70-20141218-0106-e90.fits 57009.866725
cpt1m010-kb70-20141218-0107-e90.fits 57009.8705469
cpt1m010-kb70-20141218-0108-e90.fits 57009.8741931
cpt1m010-kb70-20141218-0109-e90.fits 57009.877849
cpt1m010-kb70-20141218-0110-e90.fits 57009.8815208
cpt1m010-kb70-20141218-0111-e90.fits 57009.8852221
cpt1m010-kb70-20141218-0112-e90.fits 57009.8888962
cpt1m010-kb70-20141218-0113-e90.fits 57009.8925455
cpt1m010-kb70-20141218-0114-e90.fits 57009.8962156
cpt1m010-kb70-20141218-0115-e90.fits 57009.8998653
cpt1m010-kb70-20141218-0116-e90.fits 57009.9035311
cpt1m010-kb70-20141218-0117-e90.fits 57009.9071849
cpt1m010-kb70-20141218-0118-e90.fits 57009.9108397
cpt1m010-kb70-20141218-0119-e90.fits 57009.914498
cpt1m010-kb70-20141218-0120-e90.fits 57009.9181685
cpt1m010-kb70-20141218-0121-e90.fits 57009.9218305
cpt1m010-kb70-20141218-0122-e90.fits 57009.9255066
cpt1m010-kb70-20141218-0123-e90.fits 57009.9293586
cpt1m010-kb70-20141218-0124-e90.fits 57009.9331733
cpt1m010-kb70-20141218-0126-e90.fits 57009.9404904
cpt1m010-kb70-20141218-0127-e90.fits 57009.9441688
cpt1m010-kb70-20141218-0128-e90.fits 57009.9478176
cpt1m010-kb70-20141218-0129-e90.fits 57009.9514754
cpt1m010-kb70-20141218-0130-e90.fits 57009.9551266
cpt1m010-kb70-20141218-0131-e90.fits 57009.9587963
cpt1m010-kb70-20141218-0132-e90.fits 57009.9624434
cpt1m010-kb70-20141218-0133-e90.fits 57009.9661016
cpt1m010-kb70-20141218-0134-e90.fits 57009.9697524
cpt1m010-kb70-20141218-0135-e90.fits 57009.9734226
cpt1m010-kb70-20141218-0136-e90.fits 57009.9770737
cpt1m010-kb70-20141218-0137-e90.fits 57009.980727
cpt1m010-kb70-20141218-0138-e90.fits 57009.9844298
cpt1m010-kb70-20141218-0139-e90.fits 57009.9880843
cpt1m010-kb70-20141218-0140-e90.fits 57009.9919545
cpt1m010-kb70-20141218-0141-e90.fits 57009.9957692
cpt1m010-kb70-20141218-0142-e90.fits 57009.999417
cpt1m010-kb70-20141218-0143-e90.fits 57010.003094
cpt1m010-kb70-20141218-0144-e90.fits 57010.0067491
cpt1m010-kb70-20141218-0145-e90.fits 57010.0104078
cpt1m010-kb70-20141218-0146-e90.fits 57010.0140697
cpt1m010-kb70-20141218-0147-e90.fits 57010.0177316
cpt1m010-kb70-20141218-0148-e90.fits 57010.0213897
cpt1m010-kb70-20141218-0149-e90.fits 57010.025082
cpt1m010-kb70-20141218-0150-e90.fits 57010.0287368
cpt1m010-kb70-20141218-0151-e90.fits 57010.0324138
cpt1m010-kb70-20141218-0152-e90.fits 57010.0360698
cpt1m010-kb70-20141218-0153-e90.fits 57010.0397234
cpt1m010-kb70-20141218-0154-e90.fits 57010.0433919
cpt1m010-kb70-20141218-0155-e90.fits 57010.0470542
cpt1m010-kb70-20141218-0156-e90.fits 57010.0507081
cpt1m010-kb70-20141218-0157-e90.fits 57010.0543665
cpt1m010-kb70-20141218-0158-e90.fits 57010.0582444
cpt1m010-kb70-20141218-0159-e90.fits 57010.0619187
cpt1m010-kb70-20141218-0160-e90.fits 57010.0655835
cpt1m010-kb70-20141218-0161-e90.fits 57010.0692566
cpt1m010-kb70-20141218-0162-e90.fits 57010.0729109
