filename mjd N_bkg read_noise
coj1m003-kb71-20141218-0150-e90.fits 57009.6694025 324.0 15.874507866387544
coj1m003-kb71-20141218-0151-e90.fits 57009.6730621 326.0 14.247806848775006
coj1m003-kb71-20141218-0152-e90.fits 57009.6767253 327.0 14.212670403551895
coj1m003-kb71-20141218-0153-e90.fits 57009.6803813 332.0 14.035668847618199
coj1m003-kb71-20141218-0154-e90.fits 57009.6840846 344.0 16.76305461424021
coj1m003-kb71-20141218-0155-e90.fits 57009.6877398 351.0 15.0
coj1m003-kb71-20141218-0156-e90.fits 57009.691392 358.0 19.261360284258224
coj1m003-kb71-20141218-0157-e90.fits 57009.6950471 363.0 16.186414056238647
coj1m003-kb71-20141218-0158-e90.fits 57009.698707 374.0 15.84297951775486
coj1m003-kb71-20141218-0159-e90.fits 57009.7023616 386.0 18.520259177452136
coj1m003-kb71-20141218-0160-e90.fits 57009.7062149 395.0 16.76305461424021
coj1m003-kb71-20141218-0161-e90.fits 57009.7098852 409.0 14.696938456699069
coj1m003-kb71-20141218-0162-e90.fits 57009.7135436 422.0 14.247806848775006
coj1m003-kb71-20141218-0163-e90.fits 57009.7172004 438.0 13.674794331177344
coj1m003-kb71-20141218-0164-e90.fits 57009.7208561 461.0 16.3707055437449
coj1m003-kb71-20141218-0165-e90.fits 57009.724514 482.0 15.716233645501712
cpt1m010-kb70-20141218-0083-e90.fits 57009.7818217 1414.0 13.638181696985855
cpt1m010-kb70-20141218-0084-e90.fits 57009.7855041 822.0 18.275666882497067
cpt1m010-kb70-20141218-0085-e90.fits 57009.7891562 553.0 15.198684153570664
cpt1m010-kb70-20141218-0086-e90.fits 57009.7928164 432.0 20.223748416156685
cpt1m010-kb70-20141218-0087-e90.fits 57009.796476 369.0 16.0
cpt1m010-kb70-20141218-0088-e90.fits 57009.8001454 342.0 16.822603841260722
cpt1m010-kb70-20141218-0089-e90.fits 57009.804053 176.0 17.549928774784245
cpt1m010-kb70-20141218-0090-e90.fits 57009.8079298 315.0 19.0
cpt1m010-kb70-20141218-0091-e90.fits 57009.8115716 306.0 16.431676725154983
cpt1m010-kb70-20141218-0092-e90.fits 57009.8152333 305.0 19.261360284258224
cpt1m010-kb70-20141218-0093-e90.fits 57009.8188844 296.0 15.264337522473747
cpt1m010-kb70-20141218-0094-e90.fits 57009.8225476 293.0 15.362291495737216
cpt1m010-kb70-20141218-0095-e90.fits 57009.826213 290.0 15.459624833740307
cpt1m010-kb70-20141218-0096-e90.fits 57009.8298941 288.0 19.697715603592208
cpt1m010-kb70-20141218-0097-e90.fits 57009.8335538 282.0 15.716233645501712
cpt1m010-kb70-20141218-0098-e90.fits 57009.8372196 283.0 21.118712081942874
cpt1m010-kb70-20141218-0099-e90.fits 57009.8408945 280.0 17.204650534085253
cpt1m010-kb70-20141218-0100-e90.fits 57009.8445417 277.0 15.874507866387544
cpt1m010-kb70-20141218-0101-e90.fits 57009.848205 279.0 17.233687939614086
cpt1m010-kb70-20141218-0102-e90.fits 57009.8518621 280.0 19.8997487421324
cpt1m010-kb70-20141218-0103-e90.fits 57009.8555291 -1.0 -1.0
cpt1m010-kb70-20141218-0104-e90.fits 57009.8592063 -1.0 -1.0
cpt1m010-kb70-20141218-0105-e90.fits 57009.8628729 272.0 18.788294228055936
cpt1m010-kb70-20141218-0106-e90.fits 57009.866725 157.0 18.083141320025124
cpt1m010-kb70-20141218-0107-e90.fits 57009.8705469 276.0 15.905973720586866
cpt1m010-kb70-20141218-0108-e90.fits 57009.8741931 286.0 18.411952639521967
cpt1m010-kb70-20141218-0109-e90.fits 57009.877849 281.0 15.748015748023622
cpt1m010-kb70-20141218-0110-e90.fits 57009.8815208 282.0 15.716233645501712
cpt1m010-kb70-20141218-0111-e90.fits 57009.8852221 284.0 18.466185312619388
cpt1m010-kb70-20141218-0112-e90.fits 57009.8888962 285.0 17.05872210923198
cpt1m010-kb70-20141218-0113-e90.fits 57009.8925455 278.0 15.84297951775486
cpt1m010-kb70-20141218-0114-e90.fits 57009.8962156 287.0 15.556349186104045
cpt1m010-kb70-20141218-0115-e90.fits 57009.8998653 284.0 17.08800749063506
cpt1m010-kb70-20141218-0116-e90.fits 57009.9035311 286.0 17.029386365926403
cpt1m010-kb70-20141218-0117-e90.fits 57009.9071849 276.0 12.84523257866513
cpt1m010-kb70-20141218-0118-e90.fits 57009.9108397 278.0 19.949937343260004
cpt1m010-kb70-20141218-0119-e90.fits 57009.914498 273.0 18.76166303929372
cpt1m010-kb70-20141218-0120-e90.fits 57009.9181685 268.0 16.15549442140351
cpt1m010-kb70-20141218-0121-e90.fits 57009.9218305 262.0 16.34013463836819
cpt1m010-kb70-20141218-0122-e90.fits 57009.9255066 265.0 18.973665961010276
cpt1m010-kb70-20141218-0123-e90.fits 57009.9293586 164.0 17.88854381999832
cpt1m010-kb70-20141218-0124-e90.fits 57009.9331733 261.0 14.933184523068078
cpt1m010-kb70-20141218-0126-e90.fits 57009.9404904 -1.0 -1.0
cpt1m010-kb70-20141218-0127-e90.fits 57009.9441688 265.0 18.973665961010276
cpt1m010-kb70-20141218-0128-e90.fits 57009.9478176 269.0 18.867962264113206
cpt1m010-kb70-20141218-0129-e90.fits 57009.9514754 268.0 16.15549442140351
cpt1m010-kb70-20141218-0130-e90.fits 57009.9551266 273.0 17.406895185529212
cpt1m010-kb70-20141218-0131-e90.fits 57009.9587963 278.0 18.627936010197157
cpt1m010-kb70-20141218-0132-e90.fits 57009.9624434 279.0 12.727922061357855
cpt1m010-kb70-20141218-0133-e90.fits 57009.9661016 283.0 17.11724276862369
cpt1m010-kb70-20141218-0134-e90.fits 57009.9697524 290.0 16.911534525287763
cpt1m010-kb70-20141218-0135-e90.fits 57009.9734226 297.0 19.467922333931785
cpt1m010-kb70-20141218-0136-e90.fits 57009.9770737 298.0 16.673332000533065
cpt1m010-kb70-20141218-0137-e90.fits 57009.980727 300.0 18.027756377319946
cpt1m010-kb70-20141218-0138-e90.fits 57009.9844298 301.0 18.0
cpt1m010-kb70-20141218-0139-e90.fits 57009.9880843 306.0 19.235384061671343
cpt1m010-kb70-20141218-0140-e90.fits 57009.9919545 201.0 19.364916731037084
cpt1m010-kb70-20141218-0141-e90.fits 57009.9957692 312.0 20.42057785666214
cpt1m010-kb70-20141218-0142-e90.fits 57009.999417 315.0 17.60681686165901
cpt1m010-kb70-20141218-0143-e90.fits 57010.003094 317.0 18.947295321496416
cpt1m010-kb70-20141218-0144-e90.fits 57010.0067491 320.0 17.46424919657298
cpt1m010-kb70-20141218-0145-e90.fits 57010.0104078 325.0 18.734993995195193
cpt1m010-kb70-20141218-0146-e90.fits 57010.0140697 328.0 17.233687939614086
cpt1m010-kb70-20141218-0147-e90.fits 57010.0177316 328.0 15.748015748023622
cpt1m010-kb70-20141218-0148-e90.fits 57010.0213897 326.0 15.811388300841896
cpt1m010-kb70-20141218-0149-e90.fits 57010.025082 331.0 18.57417562100671
cpt1m010-kb70-20141218-0150-e90.fits 57010.0287368 334.0 17.05872210923198
cpt1m010-kb70-20141218-0151-e90.fits 57010.0324138 337.0 15.459624833740307
cpt1m010-kb70-20141218-0152-e90.fits 57010.0360698 345.0 18.193405398660254
cpt1m010-kb70-20141218-0153-e90.fits 57010.0397234 350.0 13.379088160259652
cpt1m010-kb70-20141218-0154-e90.fits 57010.0433919 362.0 16.217274740226856
cpt1m010-kb70-20141218-0155-e90.fits 57010.0470542 372.0 17.435595774162696
cpt1m010-kb70-20141218-0156-e90.fits 57010.0507081 382.0 15.588457268119896
cpt1m010-kb70-20141218-0157-e90.fits 57010.0543665 394.0 13.490737563232042
cpt1m010-kb70-20141218-0158-e90.fits 57010.0582444 412.0 17.804493814764857
cpt1m010-kb70-20141218-0159-e90.fits 57010.0619187 428.0 17.349351572897472
cpt1m010-kb70-20141218-0160-e90.fits 57010.0655835 444.0 13.45362404707371
cpt1m010-kb70-20141218-0161-e90.fits 57010.0692566 461.0 16.3707055437449
cpt1m010-kb70-20141218-0162-e90.fits 57010.0729109 484.0 17.320508075688775
